,ID,NrSiblings,MathScore,ReadingScore,WritingScore,LunchType,WklyStudyHours,ParentEduc,TestPrep,Gender,EthnicGroup,ParentMaritalStatus,PracticeSport,IsFirstChild,TransportMeans,MeanScore
24,24,2.0,74,71,80,1,2.0,3.0,2.0,2,4.0,2.0,3.0,2.0,2.0,75.0
25,25,1.0,75,76,76,1,2.0,6.0,1.0,2,1.0,2.0,2.0,2.0,2.0,75.66666666666667
26,26,5.0,66,53,53,2,1.0,3.0,1.0,2,2.0,2.0,3.0,2.0,2.0,57.333333333333336
27,27,4.0,69,70,76,2,3.0,4.0,1.0,1,3.0,2.0,3.0,2.0,2.0,71.66666666666667
28,28,1.0,70,70,65,2,2.0,2.0,1.0,2,3.0,2.0,3.0,1.0,1.0,68.33333333333333
29,30,0.0,66,72,72,2,1.0,3.0,1.0,1,4.0,3.0,3.0,2.0,1.0,70.0
30,31,5.0,63,65,61,2,2.0,3.0,1.0,1,2.0,3.0,3.0,2.0,2.0,63.0
31,32,1.0,56,73,66,1,2.0,6.0,1.0,1,5.0,1.0,3.0,2.0,2.0,65.0
32,33,2.0,40,42,38,2,2.0,3.0,1.0,2,3.0,2.0,3.0,1.0,1.0,40.0
33,34,0.0,97,87,82,2,2.0,3.0,1.0,2,5.0,1.0,3.0,2.0,2.0,88.66666666666667
34,35,2.0,81,81,79,2,2.0,5.0,2.0,2,5.0,3.0,3.0,1.0,2.0,80.33333333333333
35,36,2.0,76,82,85,2,2.0,5.0,1.0,1,4.0,2.0,2.0,1.0,1.0,81.0
36,37,1.0,51,64,60,1,2.0,1.0,1.0,1,4.0,2.0,2.0,2.0,1.0,58.333333333333336
37,38,1.0,77,91,90,1,2.0,5.0,2.0,1,4.0,2.0,2.0,1.0,2.0,86.0
38,39,5.0,58,56,58,1,2.0,5.0,1.0,2,2.0,3.0,2.0,2.0,2.0,57.333333333333336
39,40,0.0,53,60,52,1,2.0,5.0,1.0,2,3.0,2.0,1.0,2.0,2.0,55.0
40,41,1.0,59,74,69,2,2.0,5.0,1.0,1,3.0,1.0,2.0,1.0,2.0,67.33333333333333
41,43,3.0,60,65,67,1,2.0,3.0,1.0,2,2.0,2.0,2.0,2.0,2.0,64.0
42,44,5.0,48,55,52,1,1.0,5.0,1.0,1,5.0,2.0,3.0,2.0,2.0,51.666666666666664
43,45,3.0,63,53,55,2,1.0,5.0,1.0,2,2.0,3.0,3.0,2.0,2.0,57.0
44,47,2.0,67,72,77,2,2.0,2.0,1.0,1,3.0,2.0,2.0,2.0,1.0,72.0
45,49,3.0,82,84,82,2,2.0,2.0,2.0,2,3.0,2.0,3.0,2.0,2.0,82.66666666666667
46,50,3.0,54,55,48,2,3.0,3.0,1.0,2,5.0,2.0,2.0,1.0,2.0,52.333333333333336
47,51,2.0,76,68,68,1,1.0,5.0,2.0,2,3.0,2.0,2.0,1.0,1.0,70.66666666666667
48,52,3.0,56,45,43,2,3.0,3.0,1.0,2,3.0,1.0,2.0,2.0,2.0,48.0
49,53,2.0,88,78,75,2,2.0,2.0,1.0,2,4.0,3.0,3.0,2.0,2.0,80.33333333333333
50,54,2.0,75,86,90,1,3.0,1.0,2.0,1,3.0,2.0,2.0,2.0,1.0,83.66666666666667
51,55,2.0,33,41,43,1,2.0,2.0,1.0,1,3.0,1.0,3.0,2.0,1.0,39.0
52,56,3.0,84,86,87,2,3.0,5.0,2.0,1,5.0,2.0,3.0,2.0,2.0,85.66666666666667
53,57,2.0,52,55,49,2,2.0,5.0,1.0,2,4.0,3.0,3.0,1.0,1.0,52.0
54,58,1.0,61,60,60,2,3.0,3.0,2.0,2,4.0,2.0,2.0,1.0,1.0,60.333333333333336
55,59,3.0,0,17,10,1,3.0,1.0,1.0,1,3.0,3.0,2.0,2.0,2.0,9.0
56,61,2.0,39,39,34,1,2.0,1.0,1.0,2,1.0,2.0,3.0,2.0,2.0,37.333333333333336
57,62,5.0,62,61,55,1,2.0,5.0,1.0,2,1.0,2.0,3.0,2.0,1.0,59.333333333333336
58,64,0.0,59,58,59,2,2.0,1.0,1.0,1,4.0,2.0,3.0,2.0,2.0,58.666666666666664
59,65,1.0,63,62,58,2,1.0,1.0,1.0,2,2.0,2.0,1.0,2.0,1.0,61.0
60,66,4.0,45,37,37,1,2.0,1.0,1.0,2,4.0,2.0,3.0,2.0,2.0,39.666666666666664
61,67,3.0,61,73,75,2,2.0,3.0,1.0,1,3.0,2.0,2.0,1.0,2.0,69.66666666666667
62,68,3.0,62,58,57,1,2.0,5.0,1.0,2,2.0,1.0,2.0,1.0,2.0,59.0
63,69,3.0,39,64,57,2,2.0,5.0,1.0,1,3.0,3.0,3.0,2.0,2.0,53.333333333333336
64,71,3.0,64,55,64,2,3.0,3.0,2.0,2,4.0,1.0,3.0,2.0,1.0,61.0
65,72,1.0,42,51,49,1,2.0,5.0,1.0,1,1.0,3.0,2.0,2.0,1.0,47.333333333333336
66,73,3.0,59,56,54,1,2.0,1.0,1.0,2,3.0,1.0,1.0,2.0,2.0,56.333333333333336
67,74,2.0,47,48,40,2,1.0,1.0,1.0,2,3.0,2.0,3.0,2.0,1.0,45.0
68,75,2.0,44,41,38,1,2.0,5.0,1.0,2,2.0,1.0,3.0,1.0,2.0,41.0
69,76,5.0,28,25,21,2,2.0,1.0,1.0,2,5.0,2.0,3.0,1.0,2.0,24.666666666666668
70,77,2.0,82,79,83,2,2.0,3.0,2.0,2,1.0,2.0,2.0,2.0,2.0,81.33333333333333
71,78,2.0,62,75,73,2,3.0,1.0,2.0,1,4.0,1.0,3.0,2.0,2.0,70.0
72,79,1.0,60,68,68,2,2.0,6.0,1.0,1,5.0,1.0,1.0,2.0,2.0,65.33333333333333
73,80,0.0,49,50,52,2,3.0,5.0,1.0,1,2.0,2.0,2.0,2.0,1.0,50.333333333333336
74,81,0.0,49,45,45,1,2.0,2.0,1.0,2,2.0,2.0,3.0,2.0,1.0,46.333333333333336
75,82,2.0,50,47,54,1,2.0,3.0,2.0,2,1.0,2.0,3.0,1.0,2.0,50.333333333333336
76,83,0.0,74,64,64,2,2.0,5.0,1.0,2,5.0,2.0,2.0,2.0,1.0,67.33333333333333
77,84,3.0,40,38,33,1,2.0,2.0,1.0,2,4.0,2.0,1.0,2.0,1.0,37.0
78,85,0.0,73,80,82,2,2.0,3.0,1.0,1,3.0,1.0,3.0,2.0,1.0,78.33333333333333
79,86,2.0,73,81,86,1,1.0,3.0,1.0,1,3.0,2.0,3.0,2.0,2.0,80.0
80,87,0.0,71,71,74,2,2.0,5.0,1.0,1,4.0,3.0,3.0,2.0,1.0,72.0
81,88,3.0,57,69,67,2,1.0,3.0,1.0,1,1.0,1.0,2.0,2.0,2.0,64.33333333333333
82,89,2.0,75,87,83,2,3.0,1.0,1.0,1,4.0,3.0,3.0,2.0,1.0,81.66666666666667
83,91,4.0,27,34,36,1,2.0,2.0,1.0,2,3.0,1.0,2.0,1.0,2.0,32.333333333333336
84,92,1.0,68,77,69,2,1.0,2.0,1.0,2,3.0,1.0,3.0,1.0,2.0,71.33333333333333
85,93,3.0,45,46,52,1,3.0,5.0,2.0,2,3.0,2.0,2.0,1.0,1.0,47.666666666666664
86,94,4.0,81,87,94,2,2.0,3.0,1.0,1,2.0,2.0,2.0,2.0,1.0,87.33333333333333
87,96,5.0,63,65,61,2,2.0,1.0,2.0,2,2.0,2.0,2.0,2.0,2.0,63.0
88,97,0.0,59,69,66,2,1.0,3.0,2.0,1,3.0,2.0,1.0,2.0,2.0,64.66666666666667
89,98,2.0,61,69,64,1,3.0,3.0,1.0,1,4.0,3.0,2.0,2.0,2.0,64.66666666666667
90,99,3.0,64,66,62,2,1.0,4.0,1.0,1,4.0,2.0,2.0,2.0,2.0,64.0
91,100,7.0,79,67,67,2,2.0,3.0,1.0,2,2.0,2.0,3.0,1.0,2.0,71.0
92,101,1.0,68,74,74,2,2.0,4.0,2.0,2,4.0,3.0,3.0,1.0,1.0,72.0
93,102,3.0,87,92,91,2,2.0,5.0,1.0,1,4.0,2.0,2.0,2.0,2.0,90.0
94,103,3.0,61,44,48,2,2.0,2.0,2.0,2,2.0,2.0,2.0,1.0,2.0,51.0
95,104,1.0,100,88,94,2,3.0,3.0,2.0,2,3.0,2.0,2.0,2.0,2.0,94.0
96,105,0.0,58,67,72,2,2.0,3.0,1.0,1,3.0,2.0,3.0,2.0,2.0,65.66666666666667
97,106,3.0,87,100,100,2,2.0,6.0,1.0,1,4.0,2.0,3.0,1.0,1.0,95.66666666666667
98,107,0.0,66,63,64,2,2.0,3.0,2.0,2,5.0,3.0,3.0,2.0,2.0,64.33333333333333
99,108,2.0,52,76,70,1,2.0,5.0,1.0,1,2.0,2.0,3.0,2.0,2.0,66.0
100,109,3.0,72,64,73,2,2.0,1.0,1.0,1,2.0,3.0,2.0,1.0,2.0,69.66666666666667
101,110,4.0,79,90,99,1,3.0,5.0,2.0,1,4.0,3.0,3.0,2.0,2.0,89.33333333333333
102,111,6.0,63,55,50,2,2.0,2.0,1.0,2,3.0,3.0,2.0,1.0,2.0,56.0
103,112,0.0,54,53,47,2,2.0,5.0,1.0,2,1.0,2.0,3.0,2.0,2.0,51.333333333333336
104,113,1.0,47,56,51,2,1.0,3.0,1.0,1,4.0,2.0,1.0,2.0,2.0,51.333333333333336
105,114,3.0,98,99,100,2,1.0,4.0,2.0,1,5.0,2.0,2.0,2.0,2.0,99.0
106,115,4.0,84,77,74,2,2.0,2.0,1.0,2,3.0,2.0,3.0,2.0,1.0,78.33333333333333
107,116,1.0,72,83,79,1,2.0,4.0,1.0,1,2.0,3.0,1.0,1.0,2.0,78.0
108,117,2.0,75,80,77,2,2.0,4.0,1.0,1,4.0,2.0,1.0,1.0,1.0,77.33333333333333
109,118,0.0,54,64,63,2,3.0,1.0,1.0,1,4.0,3.0,2.0,2.0,1.0,60.333333333333336
110,119,3.0,55,69,65,2,2.0,3.0,1.0,1,3.0,1.0,3.0,1.0,2.0,63.0
111,120,1.0,76,90,86,2,2.0,4.0,2.0,1,3.0,2.0,1.0,2.0,2.0,84.0
112,121,3.0,88,87,90,2,1.0,5.0,2.0,2,2.0,2.0,3.0,2.0,2.0,88.33333333333333
113,122,1.0,90,94,95,2,2.0,3.0,2.0,1,3.0,3.0,2.0,2.0,2.0,93.0
114,123,3.0,63,57,56,1,2.0,2.0,1.0,2,4.0,2.0,3.0,1.0,1.0,58.666666666666664
115,124,3.0,82,79,73,2,1.0,3.0,1.0,2,5.0,3.0,2.0,1.0,2.0,78.0
116,125,2.0,86,94,85,2,3.0,2.0,1.0,1,2.0,3.0,1.0,2.0,2.0,88.33333333333333
117,126,3.0,72,68,67,2,2.0,3.0,1.0,2,2.0,2.0,2.0,1.0,1.0,69.0
118,127,3.0,64,76,74,2,1.0,3.0,1.0,2,4.0,2.0,2.0,1.0,2.0,71.33333333333333
119,128,2.0,77,81,72,2,1.0,6.0,1.0,2,4.0,3.0,1.0,2.0,1.0,76.66666666666667
120,129,0.0,52,49,52,2,2.0,4.0,1.0,1,1.0,2.0,2.0,2.0,2.0,51.0
121,130,1.0,87,84,82,2,1.0,6.0,1.0,2,4.0,3.0,3.0,1.0,2.0,84.33333333333333
122,131,1.0,52,36,40,1,1.0,1.0,2.0,2,3.0,3.0,2.0,2.0,1.0,42.666666666666664
123,132,2.0,89,75,71,1,2.0,3.0,2.0,2,3.0,2.0,2.0,2.0,2.0,78.33333333333333
124,133,6.0,70,78,80,2,1.0,3.0,2.0,1,3.0,2.0,1.0,1.0,2.0,76.0
125,134,1.0,76,80,76,1,3.0,4.0,2.0,2,4.0,2.0,3.0,2.0,1.0,77.33333333333333
126,135,1.0,56,54,47,2,1.0,4.0,1.0,2,3.0,2.0,3.0,2.0,2.0,52.333333333333336
127,136,1.0,51,54,41,2,2.0,1.0,2.0,2,2.0,1.0,3.0,2.0,1.0,48.666666666666664
128,137,0.0,67,54,54,2,1.0,2.0,1.0,2,5.0,1.0,3.0,2.0,2.0,58.333333333333336
129,138,1.0,59,66,67,2,2.0,5.0,1.0,1,3.0,2.0,3.0,2.0,1.0,64.0
130,139,0.0,73,61,70,2,3.0,3.0,2.0,2,4.0,2.0,3.0,2.0,1.0,68.0
131,140,1.0,76,72,71,2,2.0,1.0,1.0,1,4.0,2.0,3.0,1.0,2.0,73.0
132,141,2.0,60,62,65,1,2.0,3.0,1.0,1,3.0,2.0,2.0,1.0,1.0,62.333333333333336
133,142,1.0,41,54,54,1,1.0,3.0,2.0,1,5.0,3.0,2.0,2.0,1.0,49.666666666666664
134,143,1.0,57,43,47,2,2.0,2.0,1.0,2,1.0,3.0,3.0,1.0,2.0,49.0
135,144,3.0,90,74,79,2,3.0,3.0,1.0,2,4.0,1.0,3.0,2.0,1.0,81.0
136,145,1.0,21,38,33,1,1.0,3.0,1.0,1,3.0,3.0,2.0,2.0,2.0,30.666666666666668
137,148,1.0,65,73,79,2,1.0,4.0,2.0,1,4.0,2.0,3.0,2.0,1.0,72.33333333333333
138,149,3.0,100,100,95,1,2.0,5.0,2.0,2,5.0,2.0,2.0,1.0,1.0,98.33333333333333
139,150,2.0,62,67,69,2,2.0,1.0,2.0,2,1.0,2.0,3.0,1.0,1.0,66.0
140,152,2.0,57,68,64,2,1.0,5.0,2.0,1,2.0,3.0,3.0,2.0,2.0,63.0
141,153,1.0,54,49,47,2,2.0,4.0,1.0,2,4.0,2.0,3.0,1.0,2.0,50.0
142,154,2.0,58,65,58,2,1.0,1.0,1.0,2,4.0,3.0,1.0,1.0,2.0,60.333333333333336
143,155,3.0,69,88,88,2,1.0,3.0,2.0,1,3.0,2.0,2.0,2.0,2.0,81.66666666666667
144,156,1.0,67,75,79,1,2.0,2.0,2.0,1,5.0,2.0,2.0,2.0,2.0,73.66666666666667
145,157,2.0,58,59,58,1,1.0,3.0,1.0,2,2.0,2.0,3.0,2.0,2.0,58.333333333333336
146,158,2.0,62,87,89,2,2.0,5.0,1.0,1,2.0,1.0,2.0,2.0,1.0,79.33333333333333
147,159,3.0,70,63,66,1,3.0,5.0,1.0,2,4.0,2.0,2.0,1.0,2.0,66.33333333333333
148,160,2.0,82,78,74,1,2.0,5.0,2.0,2,2.0,3.0,3.0,2.0,1.0,78.0
149,161,3.0,75,88,85,1,2.0,3.0,2.0,1,5.0,2.0,3.0,2.0,2.0,82.66666666666667
150,162,2.0,48,53,52,1,2.0,6.0,1.0,2,2.0,3.0,1.0,1.0,2.0,51.0
151,163,1.0,52,53,49,2,2.0,2.0,1.0,2,3.0,1.0,3.0,2.0,2.0,51.333333333333336
152,164,3.0,76,89,86,2,1.0,6.0,1.0,1,5.0,2.0,1.0,2.0,1.0,83.66666666666667
153,165,0.0,96,100,100,2,2.0,4.0,2.0,1,3.0,2.0,3.0,2.0,2.0,98.66666666666667
154,166,5.0,53,51,51,1,2.0,2.0,2.0,2,3.0,3.0,3.0,2.0,1.0,51.666666666666664
155,167,1.0,62,79,83,1,3.0,6.0,2.0,1,2.0,2.0,2.0,1.0,1.0,74.66666666666667
156,168,2.0,70,84,79,2,2.0,2.0,2.0,1,2.0,2.0,2.0,2.0,1.0,77.66666666666667
157,170,5.0,76,75,77,2,3.0,2.0,2.0,2,1.0,1.0,2.0,2.0,2.0,76.0
158,171,3.0,91,86,76,2,1.0,1.0,1.0,2,5.0,2.0,3.0,1.0,2.0,84.33333333333333
159,172,3.0,76,84,78,2,2.0,3.0,1.0,1,4.0,3.0,1.0,2.0,2.0,79.33333333333333
160,173,2.0,63,67,70,2,2.0,5.0,1.0,1,3.0,2.0,3.0,2.0,2.0,66.66666666666667
161,174,1.0,41,50,52,1,1.0,4.0,2.0,1,3.0,2.0,3.0,1.0,2.0,47.666666666666664
162,175,1.0,81,92,89,2,2.0,6.0,2.0,1,3.0,1.0,3.0,2.0,2.0,87.33333333333333
163,176,2.0,44,53,56,1,1.0,2.0,2.0,1,2.0,2.0,3.0,1.0,2.0,51.0
164,177,2.0,70,76,77,2,1.0,5.0,2.0,1,3.0,2.0,2.0,2.0,2.0,74.33333333333333
165,178,2.0,54,72,65,1,2.0,6.0,2.0,1,2.0,1.0,2.0,2.0,2.0,63.666666666666664
166,179,0.0,99,100,100,2,2.0,1.0,2.0,1,4.0,1.0,2.0,2.0,2.0,99.66666666666667
167,180,2.0,60,68,75,1,1.0,6.0,2.0,2,3.0,3.0,3.0,2.0,1.0,67.66666666666667
168,181,1.0,46,64,66,1,2.0,3.0,1.0,1,3.0,3.0,3.0,2.0,1.0,58.666666666666664
169,182,3.0,50,50,47,2,2.0,2.0,1.0,1,5.0,2.0,3.0,2.0,1.0,49.0
170,183,2.0,63,67,68,2,1.0,5.0,1.0,1,4.0,3.0,3.0,1.0,1.0,66.0
171,185,5.0,61,65,62,1,1.0,5.0,2.0,2,3.0,2.0,1.0,2.0,1.0,62.666666666666664
172,186,1.0,75,73,62,2,1.0,2.0,1.0,2,5.0,2.0,1.0,2.0,2.0,70.0
173,187,4.0,62,66,68,2,2.0,1.0,2.0,2,4.0,2.0,3.0,1.0,1.0,65.33333333333333
174,188,3.0,47,51,45,1,1.0,1.0,1.0,2,2.0,2.0,2.0,1.0,2.0,47.666666666666664
175,189,1.0,74,86,85,2,1.0,4.0,1.0,1,3.0,3.0,3.0,2.0,2.0,81.66666666666667
176,190,2.0,66,65,69,2,2.0,5.0,1.0,1,5.0,2.0,3.0,2.0,2.0,66.66666666666667
177,191,2.0,73,81,77,2,1.0,3.0,2.0,2,4.0,2.0,3.0,1.0,2.0,77.0
178,192,3.0,62,64,66,2,2.0,1.0,1.0,1,2.0,3.0,3.0,1.0,1.0,64.0
179,193,4.0,79,62,63,2,2.0,3.0,2.0,2,4.0,2.0,2.0,2.0,2.0,68.0
180,194,1.0,69,85,87,2,1.0,6.0,2.0,1,3.0,2.0,2.0,2.0,2.0,80.33333333333333
181,195,4.0,60,54,52,2,1.0,5.0,1.0,2,4.0,2.0,2.0,1.0,2.0,55.333333333333336
182,196,1.0,57,67,63,1,2.0,3.0,2.0,2,3.0,2.0,1.0,2.0,2.0,62.333333333333336
183,197,7.0,56,56,52,1,3.0,2.0,1.0,2,5.0,2.0,2.0,1.0,1.0,54.666666666666664
184,198,3.0,47,54,57,1,3.0,3.0,1.0,1,2.0,4.0,2.0,2.0,2.0,52.666666666666664
185,199,3.0,80,80,77,1,2.0,4.0,1.0,1,2.0,2.0,2.0,2.0,1.0,79.0
186,200,1.0,66,83,86,2,1.0,5.0,2.0,1,3.0,3.0,2.0,1.0,1.0,78.33333333333333
187,201,3.0,63,79,75,1,1.0,3.0,1.0,1,4.0,1.0,3.0,2.0,2.0,72.33333333333333
188,202,2.0,69,77,69,2,2.0,5.0,1.0,2,3.0,2.0,3.0,2.0,2.0,71.66666666666667
189,203,2.0,58,70,69,2,2.0,5.0,1.0,1,3.0,2.0,2.0,2.0,2.0,65.66666666666667
190,204,1.0,58,40,42,2,1.0,3.0,1.0,2,3.0,3.0,2.0,2.0,2.0,46.666666666666664
191,205,2.0,71,69,76,2,1.0,1.0,2.0,2,4.0,2.0,2.0,2.0,2.0,72.0
192,206,4.0,84,62,63,2,2.0,4.0,1.0,2,5.0,2.0,2.0,2.0,2.0,69.66666666666667
193,207,2.0,83,81,77,2,2.0,2.0,2.0,2,5.0,2.0,2.0,1.0,2.0,80.33333333333333
194,208,1.0,73,80,76,1,1.0,3.0,1.0,1,2.0,2.0,2.0,2.0,1.0,76.33333333333333
195,209,2.0,58,61,66,1,2.0,3.0,1.0,1,2.0,3.0,3.0,1.0,2.0,61.666666666666664
196,210,3.0,77,77,77,1,1.0,1.0,2.0,2,4.0,4.0,3.0,2.0,2.0,77.0
197,211,3.0,35,28,27,1,2.0,3.0,1.0,2,3.0,2.0,3.0,2.0,2.0,30.0
198,212,2.0,42,62,60,1,2.0,2.0,1.0,1,3.0,1.0,3.0,2.0,2.0,54.666666666666664
199,213,1.0,61,51,57,1,2.0,5.0,2.0,2,3.0,3.0,2.0,1.0,2.0,56.333333333333336
200,214,1.0,87,91,81,2,2.0,2.0,1.0,2,5.0,2.0,3.0,2.0,1.0,86.33333333333333
201,215,2.0,86,84,76,2,2.0,1.0,2.0,2,2.0,2.0,2.0,1.0,1.0,82.0
202,216,3.0,80,84,86,1,1.0,5.0,2.0,1,5.0,2.0,3.0,2.0,2.0,83.33333333333333
203,217,3.0,33,41,39,1,1.0,2.0,1.0,1,3.0,2.0,2.0,1.0,2.0,37.666666666666664
204,218,2.0,64,75,68,1,1.0,2.0,1.0,2,2.0,2.0,3.0,1.0,2.0,69.0
205,219,1.0,59,55,54,2,2.0,1.0,2.0,2,2.0,3.0,1.0,1.0,2.0,56.0
206,220,4.0,57,69,75,2,2.0,2.0,2.0,1,4.0,4.0,2.0,2.0,2.0,67.0
207,221,0.0,89,86,74,2,3.0,5.0,1.0,2,2.0,2.0,3.0,2.0,2.0,83.0
208,222,3.0,55,65,62,1,2.0,1.0,1.0,1,3.0,1.0,3.0,1.0,2.0,60.666666666666664
209,223,3.0,88,81,76,2,2.0,1.0,1.0,2,4.0,2.0,2.0,1.0,2.0,81.66666666666667
210,224,3.0,55,67,76,2,3.0,5.0,2.0,1,2.0,1.0,2.0,2.0,2.0,66.0
211,225,2.0,43,55,52,1,1.0,6.0,1.0,1,5.0,2.0,3.0,1.0,1.0,50.0
212,226,5.0,72,72,71,2,2.0,3.0,1.0,1,3.0,2.0,3.0,2.0,2.0,71.66666666666667
213,227,0.0,58,50,55,2,2.0,2.0,1.0,2,4.0,3.0,2.0,2.0,2.0,54.333333333333336
214,228,4.0,68,72,64,1,2.0,3.0,1.0,2,1.0,1.0,3.0,1.0,2.0,68.0
215,229,3.0,93,97,98,2,3.0,3.0,2.0,1,3.0,2.0,2.0,2.0,2.0,96.0
216,230,0.0,78,64,67,2,2.0,3.0,1.0,2,4.0,2.0,2.0,2.0,2.0,69.66666666666667
217,231,1.0,47,43,43,2,2.0,5.0,1.0,2,3.0,2.0,2.0,2.0,1.0,44.333333333333336
218,232,2.0,67,86,83,2,2.0,4.0,1.0,1,2.0,2.0,3.0,2.0,2.0,78.66666666666667
219,233,3.0,94,88,79,2,3.0,1.0,1.0,2,5.0,1.0,3.0,2.0,2.0,87.0
220,234,3.0,85,83,85,2,3.0,4.0,2.0,2,3.0,2.0,3.0,1.0,2.0,84.33333333333333
221,235,1.0,84,77,80,2,3.0,5.0,1.0,2,4.0,2.0,2.0,1.0,2.0,80.33333333333333
222,236,2.0,62,65,67,1,1.0,4.0,1.0,2,4.0,1.0,2.0,1.0,2.0,64.66666666666667
223,237,4.0,62,59,72,2,1.0,1.0,1.0,1,4.0,2.0,3.0,2.0,2.0,64.33333333333333
224,238,2.0,57,53,53,2,3.0,3.0,1.0,2,2.0,2.0,2.0,2.0,1.0,54.333333333333336
225,239,1.0,84,80,80,2,2.0,5.0,1.0,2,3.0,2.0,3.0,2.0,1.0,81.33333333333333
226,240,1.0,75,69,67,1,3.0,2.0,2.0,2,4.0,1.0,2.0,2.0,1.0,70.33333333333333
227,241,4.0,82,84,85,2,2.0,4.0,1.0,1,5.0,3.0,2.0,1.0,1.0,83.66666666666667
228,243,2.0,58,50,43,2,1.0,3.0,1.0,2,5.0,3.0,2.0,1.0,2.0,50.333333333333336
229,244,1.0,74,73,69,2,1.0,1.0,1.0,2,4.0,1.0,2.0,2.0,2.0,72.0
230,245,3.0,82,74,69,2,1.0,5.0,1.0,2,3.0,2.0,3.0,1.0,1.0,75.0
231,246,2.0,91,77,75,2,2.0,5.0,1.0,2,5.0,2.0,2.0,1.0,2.0,81.0
232,247,1.0,58,70,68,2,2.0,2.0,2.0,1,2.0,3.0,3.0,2.0,1.0,65.33333333333333
233,248,2.0,63,63,60,2,1.0,2.0,1.0,1,2.0,2.0,3.0,2.0,1.0,62.0
234,249,2.0,70,60,54,2,3.0,2.0,1.0,2,3.0,2.0,3.0,1.0,2.0,61.333333333333336
235,250,2.0,47,49,49,2,2.0,1.0,2.0,2,1.0,3.0,3.0,2.0,2.0,48.333333333333336
236,251,4.0,70,82,83,1,1.0,3.0,1.0,1,4.0,2.0,2.0,2.0,2.0,78.33333333333333
237,252,3.0,60,70,70,2,2.0,1.0,2.0,1,2.0,3.0,3.0,2.0,1.0,66.66666666666667
238,253,3.0,80,80,72,2,2.0,6.0,1.0,2,4.0,2.0,3.0,1.0,2.0,77.33333333333333
239,254,0.0,54,52,52,2,2.0,2.0,1.0,2,4.0,2.0,3.0,2.0,1.0,52.666666666666664
240,255,1.0,62,73,70,2,2.0,3.0,1.0,1,5.0,3.0,3.0,1.0,2.0,68.33333333333333
241,256,5.0,62,71,66,1,1.0,5.0,1.0,1,3.0,3.0,3.0,1.0,1.0,66.33333333333333
242,257,1.0,80,78,78,2,2.0,5.0,2.0,2,3.0,2.0,2.0,2.0,2.0,78.66666666666667
